,NAME,WEBSITE_LINK,AVG_DEBT,AVG_MONTHLY_REPAY,FINANCIAL_AID_CALC,SCHOOL_MEDIAN_EARNINGS,NATIONAL_4_YEAR_MEDIAN,EARNINGS_VS_HS_GRAD,WHITE_POP,BLACK_POP,HISPANIC_POP,ASIAN_POP,INDIGENOUS_POP,HAWAIIAN/PACIFIC_ISLANDER_POP,MULTIRACIAL_POP,UNKNOWN_RACE_POP,INTERNATIONAL_POP,COST_AFTER_AID_0_30,COST_AFTER_AID_30_48,COST_AFTER_AID_48_75,COST_AFTER_AID_75_110,COST_AFTER_AID_110,MONTHLY_REPAY_PERCENTAGE
0,Alabama A & M University,www.aamu.edu/,31000,328.651592227982,www.aamu.edu/admissions-aid/tuition-fees/net-price-calculator.html,40628.0,53747.0,0.4613,0.0198,0.8955,0.011,0.0019,0.0025,0.0015,0.0127,0.0435,0.0115,14205.0,14526.0,16532.0,20139.0,17539.0,0.09707145581214394
1,University of Alabama at Birmingham,https://www.uab.edu/,22300,236.417113118838,https://tcc.ruffalonl.com/University of Alabama at Birmingham/Freshman-Students,54501.0,53747.0,0.7443,0.513,0.2528,0.0711,0.0819,0.0016,0.0005,0.0491,0.0064,0.0237,14620.0,15130.0,17379.0,20045.0,19342.0,0.05205418905022029
2,Amridge University,https://www.amridgeuniversity.edu/,32189,341.256971039565,https://www2.amridgeuniversity.edu:9091/,37621.0,53747.0,0.5026,0.2851,0.6623,0.0307,0.0,0.0044,0.0044,0.0,0.0132,0.0,,,,,,0.10885100482376278
3,University of Alabama in Huntsville,www.uah.edu/,20705,219.507458615495,finaid.uah.edu/,61767.0,53747.0,0.7854,0.7102,0.0873,0.0666,0.0389,0.0087,0.0016,0.0465,0.0252,0.0149,13902.0,15703.0,18802.0,20880.0,20467.0,0.042645579409489535
4,Alabama State University,www.alasu.edu/,31000,328.651592227982,www.alasu.edu/cost-aid/tuition-costs/net-price-calculator,34502.0,53747.0,0.4467,0.0155,0.9251,0.0121,0.0015,0.0021,0.0009,0.0118,0.0088,0.0221,13066.0,13738.0,13505.0,14414.0,15590.0,0.1143069708056282
5,The University of Alabama,www.ua.edu/,22750,241.187862038277,ua.aidcalc.cloud/netprice.htm,59221.0,53747.0,0.7787,0.7336,0.1072,0.0577,0.0146,0.0036,0.0011,0.0344,0.0386,0.0092,17942.0,19931.0,21867.0,23680.0,23931.0,0.04887209510915594
6,Central Alabama Community College,www.cacc.edu/,9766,103.535853216079,https://www.cacc.edu/net-price-calculator/,33506.0,31213.0,0.513,0.6802,0.2285,0.0322,0.0042,0.0021,0.0,0.0447,0.0031,0.0052,7232.0,6749.0,9895.0,11020.0,11738.0,0.037080828466332844
7,Athens State University,https://www.athens.edu/,18051,191.370641655074,www.athens.edu/financial-aid/net-price-calculator/,50273.0,53747.0,0.7914,0.7574,0.1258,0.0503,0.0049,0.0146,0.0008,0.0325,0.0097,0.0041,,,,,,0.045679543688677576
8,Auburn University at Montgomery,www.aum.edu/,25000,265.041606635469,www.aum.edu/net-price-calculator,44391.0,53747.0,0.6433,0.4052,0.4584,0.0175,0.0287,0.0024,0.0009,0.0366,0.0048,0.0454,10873.0,12501.0,15041.0,15724.0,14069.0,0.07164738977778443
9,Auburn University,www.auburn.edu/,21000,222.634949573794,https://www.auburn.edu/admissions/costcalc/freshman.html,65337.0,53747.0,0.8115,0.8269,0.0425,0.0395,0.0279,0.0025,0.0006,0.029,0.003,0.028,17481.0,19356.0,23336.0,26709.0,28876.0,0.040889838757297216
10,Birmingham-Southern College,www.bsc.edu/,25000,265.041606635469,www.bsc.edu/fp/np-calculator.cfm,59481.0,53747.0,0.7171,0.7397,0.1519,0.0558,0.0227,0.001,0.0,0.0134,0.001,0.0145,17530.0,17196.0,18649.0,20596.0,21035.0,0.053470844128807996
11,Chattahoochee Valley Community College,https://www.cv.edu/,10500,111.317474786897,https://www.cv.edu/npcalc,36438.0,31213.0,0.536,0.3524,0.4886,0.0173,0.0054,0.0027,0.0045,0.1017,0.0272,0.0,1980.0,3857.0,5612.0,7759.0,8615.0,0.03665979739400527
12,South University-Montgomery,www.southuniversity.edu/,26123,276.947275605534,www.southuniversity.edu/montgomery/net-price-calculator,34421.0,40241.5,0.5683,0.2,0.7429,0.0159,0.0063,0.0,0.0032,0.0063,0.0127,0.0127,26145.0,28659.0,28028.0,30780.0,,0.09655057398873966
13,Enterprise State Community College,www.escc.edu/,7499,79.5018803263754,https://www.escc.edu/netprice/npcalc.htm,42572.0,40241.5,0.5622,0.624,0.2009,0.0603,0.0125,0.0088,0.0007,0.0567,0.0272,0.0088,1838.0,2694.0,4561.0,7744.0,7738.0,0.02240962519770048
14,Coastal Alabama Community College,www.coastalalabama.edu/,11000,116.618306919606,www.coastalalabama.edu/about/consumer_information/net_price_calculator/,34894.0,40241.5,0.5133,0.633,0.2362,0.0455,0.0079,0.0154,0.0015,0.0505,0.006,0.004,5700.0,6405.0,8905.0,12032.0,11706.0,0.040104880009035136
